* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
296.670000, 86.383
296.920000, 86.384
297.170000, 86.385
297.420000, 86.385
297.670000, 86.386
297.920000, 86.387
298.170000, 86.387
298.420000, 86.388
298.670000, 86.389
298.920000, 86.389
299.170000, 86.390
299.420000, 86.390
299.670000, 86.391
299.920000, 86.392
300.170000, 86.392
300.420000, 86.393
300.670000, 86.394
300.920000, 86.394
301.170000, 86.395
301.420000, 86.395
301.670000, 86.396
301.920000, 86.396
302.170000, 86.397
302.420000, 86.398
302.670000, 86.398
302.920000, 86.399
303.170000, 86.399
303.420000, 86.400
303.670000, 86.400
303.920000, 86.400
304.170000, 86.399
304.420000, 86.399
304.670000, 86.399
304.920000, 86.399
305.170000, 86.398
305.420000, 86.398
305.670000, 86.398
305.920000, 86.398
306.170000, 86.397
306.420000, 86.397
306.670000, 86.397
306.920000, 86.396
307.170000, 86.396
307.420000, 86.396
307.670000, 86.396
307.920000, 86.395
308.170000, 86.395
308.420000, 86.395
308.670000, 86.394
308.920000, 86.394
309.170000, 86.394
309.420000, 86.393
309.670000, 86.393
309.920000, 86.393
310.170000, 86.392
310.420000, 86.392
310.670000, 86.392
310.920000, 86.391
311.170000, 86.391
311.420000, 86.390
311.670000, 86.390
311.920000, 86.390
312.170000, 86.389
312.420000, 86.389
312.670000, 86.389
312.920000, 86.388
313.170000, 86.388
313.420000, 86.387
313.670000, 86.387
313.920000, 86.386
314.170000, 86.386
314.420000, 86.386
314.670000, 86.385
314.920000, 86.385
315.170000, 86.384
315.420000, 86.384
315.670000, 86.383
315.920000, 86.383
316.170000, 86.383
316.420000, 86.382
316.670000, 86.382
316.920000, 86.381
317.170000, 86.381
317.420000, 86.380
317.670000, 86.380
317.920000, 86.379
318.170000, 86.379
318.420000, 86.378
318.670000, 86.378
318.920000, 86.377
